GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
37045GROVER,0,Voting District GROVER,Cleveland,5080,4030,671,163,104,17,95,3752,3045,502,80,81,14,30,1959,649,1293,746,1213
37045S8,0,Voting District S8,Cleveland,3299,2084,987,141,23,4,60,2511,1704,676,86,16,4,25,1511,720,769,772,739
37045S7,0,Voting District S7,Cleveland,3801,2434,1118,139,54,4,52,2967,2051,765,90,41,4,16,2027,884,1118,975,1052
37045S6,0,Voting District S6,Cleveland,4743,2836,1616,163,21,12,95,3536,2238,1116,110,20,11,41,1976,1057,908,1084,892
37045KM4,0,Voting District KM4,Cleveland,2157,1500,538,59,5,9,46,1735,1244,419,35,5,8,24,947,453,485,481,466
37045KM2,0,Voting District KM2,Cleveland,3379,2487,768,52,26,3,43,2587,1959,557,36,18,3,14,1465,640,814,689,776
37045FALSTN,0,Voting District FALSTN,Cleveland,2380,2216,98,31,7,6,22,1847,1746,63,18,7,6,7,1040,252,780,338,702
37045KINGST,0,Voting District KINGST,Cleveland,1198,499,655,16,15,2,11,924,414,485,8,9,2,6,694,480,213,510,184
37045S4,0,Voting District S4,Cleveland,3320,1649,1502,116,6,8,39,2483,1337,1050,71,6,4,15,1701,1069,625,1127,574
37045S1,0,Voting District S1,Cleveland,2798,1287,1397,60,8,5,41,2211,1091,1049,44,7,4,16,1308,835,464,864,444
37045OAKGR,0,Voting District OAKGR,Cleveland,5040,4444,294,158,47,4,93,3861,3475,212,96,39,4,35,2148,575,1553,647,1501
37045RIPPY,0,Voting District RIPPY,Cleveland,5908,4409,1262,132,9,7,89,4375,3410,841,73,9,5,37,2346,895,1423,991,1355
37045S2,0,Voting District S2,Cleveland,4285,2820,1244,122,36,14,49,3356,2313,896,86,28,10,23,2260,950,1295,1028,1232
37045MRB-YO,0,Voting District MRB-YO,Cleveland,2215,1952,210,35,4,4,10,1727,1543,146,27,3,4,4,1037,277,745,393,644
37045SHANGI,0,Voting District SHANGI,Cleveland,3846,3091,641,52,7,6,49,2965,2428,469,34,7,6,21,1925,642,1267,779,1146
37045H-SPGS,0,Voting District H-SPGS,Cleveland,1082,999,51,18,1,3,10,822,761,43,11,1,1,5,416,133,281,179,237
37045S3,0,Voting District S3,Cleveland,2904,1481,1238,99,24,11,51,2209,1267,828,62,14,11,27,1153,633,513,662,491
37045BETHWR,0,Voting District BETHWR,Cleveland,2599,2167,259,82,44,7,40,1957,1662,191,44,39,5,16,1094,276,806,345,749
37045KM1,0,Voting District KM1,Cleveland,3777,2873,760,43,28,6,67,2872,2228,564,27,21,5,27,1628,663,952,724,904
37047P21,0,Voting District P21,Columbus,1502,1056,338,53,8,20,27,1129,812,254,34,6,15,8,765,278,481,372,392
37047P17,0,Voting District P17,Columbus,1778,656,829,105,2,118,68,1367,522,659,56,1,88,41,841,585,255,643,198
37047P16,0,Voting District P16,Columbus,2175,1161,321,49,1,601,42,1677,946,234,25,1,441,30,985,458,519,560,425
37047P01,0,Voting District P01,Columbus,2729,1740,724,123,20,77,45,2138,1417,565,71,14,53,18,1267,611,645,784,483
37047P06,0,Voting District P06,Columbus,1461,1043,291,72,1,24,30,1107,815,214,48,1,14,15,618,211,401,339,279
37047P08,0,Voting District P08,Columbus,691,624,18,33,0,10,6,521,475,14,25,0,5,2,267,34,229,111,156
37047P24,0,Voting District P24,Columbus,3018,2546,319,110,3,13,27,2218,1920,206,66,2,8,16,1068,171,888,446,622
37047P26,0,Voting District P26,Columbus,6506,3197,2944,162,28,73,102,5287,2627,2402,105,24,59,70,2027,994,1012,1206,820
37047P19,0,Voting District P19,Columbus,3743,2197,1349,85,34,42,36,2972,1840,1001,61,29,24,17,1704,831,860,969,735
37047P11,0,Voting District P11,Columbus,2034,1262,569,130,11,44,18,1693,1026,512,97,10,36,12,562,160,396,251,311
37047P13,0,Voting District P13,Columbus,1147,859,63,217,0,2,6,824,661,46,112,0,1,4,399,99,290,187,212
37047P05,0,Voting District P05,Columbus,651,495,68,86,0,0,2,500,401,41,56,0,0,2,293,102,187,175,118
37047P10,0,Voting District P10,Columbus,1339,1245,20,56,1,12,5,985,931,15,25,1,9,4,488,107,377,222,266
37047P04,0,Voting District P04,Columbus,727,344,290,85,0,2,6,517,264,204,46,0,2,1,214,106,108,134,80
37047P03,0,Voting District P03,Columbus,1048,676,150,187,6,8,21,793,553,112,103,5,7,13,337,95,236,179,158
37047P15,0,Voting District P15,Columbus,3258,1953,1207,32,1,36,29,2533,1558,922,19,1,25,8,1466,791,668,1018,448
37047P09,0,Voting District P09,Columbus,1772,931,736,78,0,6,21,1403,763,579,47,0,4,10,886,530,352,627,259
37047P20,0,Voting District P20,Columbus,1632,610,845,94,10,21,52,1218,512,595,62,6,14,29,605,390,210,419,186
37047P22,0,Voting District P22,Columbus,3388,2275,770,257,12,31,43,2534,1796,538,155,9,20,16,1396,474,908,723,673
37047P07,0,Voting District P07,Columbus,4861,2548,2027,141,7,94,44,3648,2018,1445,82,5,80,18,2124,1203,907,1421,703
37047P18,0,Voting District P18,Columbus,843,511,272,28,0,21,11,636,416,192,14,0,11,3,374,165,206,226,148
37047P23,0,Voting District P23,Columbus,2964,1719,1078,64,15,45,43,2216,1346,775,40,11,28,16,1468,742,717,860,608
37047P14,0,Voting District P14,Columbus,4809,2747,1593,329,4,66,70,3605,2129,1220,168,3,46,39,2249,1184,1043,1258,991
37047P25,0,Voting District P25,Columbus,2077,1904,107,34,2,15,15,1569,1463,68,16,2,12,8,814,122,680,321,493
37047P02,0,Voting District P02,Columbus,1611,441,656,52,3,406,53,1204,356,492,24,2,303,27,893,585,304,666,227
37047P12,0,Voting District P12,Columbus,334,328,3,0,0,1,2,272,267,3,0,0,1,1,172,48,115,96,76
3704912,0,Voting District 12,Craven,717,642,31,33,4,2,5,559,515,20,17,3,2,2,331,51,278,81,250
3704921,0,Voting District 21,Craven,3093,2711,261,46,22,1,52,2240,1978,195,27,19,1,20,1694,525,1151,592,1102
3704910,0,Voting District 10,Craven,1423,878,381,139,9,4,12,1130,719,313,83,5,4,6,653,246,401,297,356
3704909,0,Voting District 09,Craven,782,414,352,4,3,3,6,634,354,271,4,2,1,2,434,236,196,248,186
3704915,0,Voting District 15,Craven,1465,962,383,90,3,6,21,1060,723,273,49,2,4,9,538,224,312,253,285
3704913,0,Voting District 13,Craven,1073,899,123,27,2,8,14,851,724,92,19,1,8,7,528,129,393,177,351
3704914,0,Voting District 14,Craven,6118,3621,2022,275,12,50,138,4655,2807,1553,167,12,48,68,2175,975,1188,1066,1109
37049N4,0,Voting District N4,Craven,6831,3299,2193,871,257,25,186,5124,2786,1551,515,177,20,75,2399,1515,868,1460,939
3704907,0,Voting District 07,Craven,3396,2072,1131,116,8,16,53,2527,1644,773,71,4,11,24,1593,696,888,773,820
37049N2,0,Voting District N2,Craven,3648,1016,2419,101,29,11,72,2688,844,1717,67,17,9,34,1706,1334,367,1306,400
3704905,0,Voting District 05,Craven,3119,2696,268,80,32,4,39,2699,2392,208,50,27,2,20,1937,716,1200,739,1198
3704920,0,Voting District 20,Craven,3576,3308,138,74,20,3,33,3148,2955,110,51,15,3,14,2247,800,1421,787,1460
3704903,0,Voting District 03,Craven,4155,3943,80,59,24,8,41,3299,3169,54,37,16,5,18,2780,705,2055,897,1883
3704906,0,Voting District 06,Craven,1808,977,700,71,26,7,27,1395,819,493,47,18,4,14,622,343,279,350,272
3704904,0,Voting District 04,Craven,1122,729,318,33,13,11,18,889,575,268,16,11,9,10,677,352,320,370,307
3704908,0,Voting District 08,Craven,1257,775,417,41,5,2,17,983,615,328,25,5,2,8,747,384,363,414,333
37049N1,0,Voting District N1,Craven,3294,1494,1549,103,86,7,55,2648,1328,1157,82,45,7,29,1537,982,540,970,567
3704923,0,Voting District 23,Craven,5655,4402,703,316,120,15,99,4276,3398,542,194,94,12,36,2697,1003,1672,945,1752
37049N3,0,Voting District N3,Craven,2862,1920,624,114,130,10,64,2177,1564,449,60,68,7,29,1371,650,712,691,680
3704917,0,Voting District 17,Craven,2967,2379,241,178,77,8,84,2225,1850,174,100,61,8,32,1278,361,907,376,902
37049N5,0,Voting District N5,Craven,3192,1310,1519,134,171,11,47,2417,1106,1092,97,89,8,25,1344,936,396,938,406
3704919,0,Voting District 19,Craven,3836,2096,1423,137,35,18,127,2897,1612,1110,81,31,12,51,1940,1086,843,1168,772
3704922,0,Voting District 22,Craven,13989,9557,1692,1760,388,88,504,10395,7386,1198,1192,321,68,230,2525,885,1616,865,1660
3704911,0,Voting District 11,Craven,4402,3696,358,232,22,17,77,3373,2919,252,136,17,12,37,1641,437,1187,538,1104
37049N6,0,Voting District N6,Craven,5834,4248,969,203,308,12,94,4787,3688,694,141,217,10,37,3235,1400,1804,1422,1813
3704916,0,Voting District 16,Craven,5449,4410,568,278,49,18,126,4175,3443,445,170,42,14,61,2447,738,1693,838,1609
3704918,0,Voting District 18,Craven,8442,4971,2005,757,309,55,345,6051,3802,1314,499,247,41,148,2718,1281,1414,1192,1526
37051AL51,0,Voting District AL51,Cumberland,5963,4327,992,227,32,234,151,4441,3319,739,128,30,173,52,2700,946,1737,1104,1596
37051G6,0,Voting District G6,Cumberland,10457,7669,1859,364,59,295,211,7956,5986,1391,217,46,215,101,4754,1641,3082,1991,2763
37051G9,0,Voting District G9,Cumberland,16413,9324,4365,1345,240,474,665,11325,6789,2952,776,188,355,265,5774,2780,2960,2821,2953
37051CC19,0,Voting District CC19,Cumberland,1595,53,1402,52,7,24,57,1068,39,956,18,6,17,32,786,772,13,760,26
37051CC05,0,Voting District CC05,Cumberland,3241,475,2502,152,17,17,78,2324,407,1766,84,13,15,39,1464,1308,154,1270,194
37051CC04,0,Voting District CC04,Cumberland,1535,1105,276,79,23,5,47,1286,940,236,59,16,5,30,803,383,408,392,411
37051CC08,0,Voting District CC08,Cumberland,1617,1223,287,52,27,9,19,1311,1018,224,30,20,7,12,1097,381,704,419,678
37051CC07,0,Voting District CC07,Cumberland,1610,1319,148,69,16,19,39,1280,1087,109,43,11,14,16,868,301,562,338,530
37051CC10,0,Voting District CC10,Cumberland,1857,780,884,91,48,8,46,1400,644,635,61,34,8,18,865,520,340,520,345
37051CC15,0,Voting District CC15,Cumberland,3761,2594,709,188,146,29,95,3094,2257,520,124,120,21,52,1893,734,1148,796,1096
37051CC12,0,Voting District CC12,Cumberland,2148,1865,98,99,54,7,25,1594,1408,77,57,36,7,9,1322,320,994,395,927
37051CC16,0,Voting District CC16,Cumberland,2415,76,2213,53,2,12,59,1931,56,1795,30,2,11,37,1676,1641,34,1607,69
37051CC13,0,Voting District CC13,Cumberland,3306,498,2645,76,6,11,70,2887,475,2284,63,5,10,50,1664,1621,40,1586,78
37051CC06,0,Voting District CC06,Cumberland,1823,1232,384,103,31,16,57,1516,1054,321,70,29,12,30,944,404,533,429,515
37051G8,0,Voting District G8,Cumberland,18788,9562,5436,2199,521,322,748,13019,7082,3683,1311,385,233,325,7298,4069,3185,3788,3510
37051G4,0,Voting District G4,Cumberland,8999,4375,2820,1044,148,227,385,6648,3616,1917,647,115,186,167,3453,1823,1603,1853,1600
37051CU02,0,Voting District CU02,Cumberland,3234,1763,846,334,67,51,173,2410,1420,598,222,55,41,74,1376,695,663,726,650
37051CC18,0,Voting District CC18,Cumberland,2280,1553,433,114,86,25,69,1762,1268,308,70,61,21,34,1239,469,761,511,728
37051CC34,0,Voting District CC34,Cumberland,2946,1805,463,196,372,20,90,2273,1455,359,135,269,17,38,1497,591,896,612,885
37051G5,0,Voting District G5,Cumberland,20447,6100,10806,1980,586,153,822,14830,4920,7675,1232,470,130,403,8623,6374,2218,6116,2508
37051CC29,0,Voting District CC29,Cumberland,4276,1610,1700,622,119,36,189,3235,1347,1245,427,102,28,86,1710,1190,507,1150,560
37051CC24,0,Voting District CC24,Cumberland,2501,1281,665,329,113,29,84,1993,1116,482,227,98,19,51,912,466,442,469,443
37051MB62,0,Voting District MB62,Cumberland,4275,1287,2012,639,115,32,190,2900,968,1367,377,83,17,88,1426,1075,344,1019,407
37051LR63,0,Voting District LR63,Cumberland,6347,1844,3059,910,218,40,276,4229,1300,2091,533,156,28,121,2428,1851,567,1774,654
37051CC32,0,Voting District CC32,Cumberland,2481,654,1262,309,127,12,117,1831,549,898,204,106,10,64,961,781,174,755,206
37051CC33,0,Voting District CC33,Cumberland,3601,1395,1527,364,172,12,131,2762,1172,1133,232,143,11,71,1730,1031,684,1040,690
37051CC03,0,Voting District CC03,Cumberland,2453,637,1248,386,62,26,94,1817,528,896,268,53,22,50,767,599,161,569,198
37051CC25,0,Voting District CC25,Cumberland,3314,1571,999,402,184,14,144,2563,1314,745,262,156,10,76,1346,742,593,738,608
37051G7,0,Voting District G7,Cumberland,3604,2664,642,177,26,40,55,2735,2066,496,103,18,33,19,1675,491,1170,628,1046
37051CC21,0,Voting District CC21,Cumberland,5570,1846,2860,458,118,49,239,4174,1567,2049,294,99,38,127,2379,1686,684,1622,757
37051CC14,0,Voting District CC14,Cumberland,4263,2545,940,366,220,35,157,3326,2063,729,258,159,31,86,2033,809,1203,841,1192
37051G1,0,Voting District G1,Cumberland,9054,4510,3314,454,132,364,280,6581,3534,2296,260,99,275,117,3883,1937,1934,2047,1836
37051SH77,0,Voting District SH77,Cumberland,3355,2188,715,258,19,106,69,2434,1643,535,144,12,77,23,1348,557,788,619,729
37051MR02,0,Voting District MR02,Cumberland,4679,1801,1689,637,273,46,233,3545,1472,1236,436,248,36,117,1853,1191,654,1149,704
37051G3,0,Voting District G3,Cumberland,15224,7150,5526,1361,200,458,529,10755,5605,3597,817,159,360,217,5399,3181,2187,3155,2244
37051CC27,0,Voting District CC27,Cumberland,8113,2754,3497,1088,314,73,387,5889,2269,2385,707,275,55,198,2417,1810,594,1705,712
37051LI65,0,Voting District LI65,Cumberland,4809,3427,894,252,77,49,110,3514,2570,656,143,62,34,49,2184,811,1357,886,1298
37051G11,0,Voting District G11,Cumberland,31242,15956,7391,5050,941,315,1589,21761,11706,5261,3086,759,228,721,5841,4050,1757,3909,1932
37051CC26,0,Voting District CC26,Cumberland,5813,2143,2417,689,284,29,251,4571,1828,1855,475,242,25,146,2337,1742,577,1683,654
37051CC17,0,Voting District CC17,Cumberland,3822,548,2913,191,55,21,94,2874,449,2190,117,49,18,51,1898,1715,178,1666,232
37051CC01,0,Voting District CC01,Cumberland,3227,665,2313,86,45,59,59,2622,589,1851,69,39,40,34,1451,1304,143,1291,160
37051CL57,0,Voting District CL57,Cumberland,9091,2726,4432,1249,240,47,397,6234,2039,3036,765,202,38,154,3798,2817,970,2572,1226
37051G2,0,Voting District G2,Cumberland,34282,15108,14255,2634,787,256,1242,25793,12191,10419,1735,644,201,603,15131,9290,5729,9183,5948
37051CC31,0,Voting District CC31,Cumberland,3613,1653,1209,427,76,67,181,2706,1371,854,271,66,53,91,1428,825,595,832,596
37051EO61-2,0,Voting District EO61-2,Cumberland,2691,1670,811,83,14,54,59,1990,1263,594,59,11,30,33,1220,559,655,575,645
37051EO61-1,0,Voting District EO61-1,Cumberland,3484,2533,702,115,36,51,47,2815,2089,559,72,30,43,22,1967,652,1304,829,1138
37051G10,0,Voting District G10,Cumberland,14454,8999,2923,1218,407,333,574,10011,6597,1963,683,288,236,244,5986,2397,3563,2546,3440
37051AH49,0,Voting District AH49,Cumberland,5358,1886,2456,619,137,44,216,3875,1505,1738,376,113,35,108,1971,1361,602,1340,631
37053GW,0,Voting District GW,Currituck,461,451,0,3,2,0,5,372,366,0,3,2,0,1,197,56,138,60,137
37053PP,0,Voting District PP,Currituck,2192,1904,178,62,3,5,40,1730,1535,134,41,2,4,14,1109,457,640,495,614
37053WH,0,Voting District WH,Currituck,450,425,10,8,4,1,2,430,407,9,8,3,1,2,399,176,217,168,231
37053CI,0,Voting District CI,Currituck,309,302,0,2,0,3,2,245,238,0,2,0,3,2,189,55,131,68,121
37053CJ,0,Voting District CJ,Currituck,1277,996,173,70,7,7,24,977,783,136,37,6,5,10,412,170,238,192,220
37053KI,0,Voting District KI,Currituck,1545,1481,3,22,15,4,20,1217,1180,3,13,10,3,8,692,194,486,224,468
37053CH,0,Voting District CH,Currituck,4548,4140,134,142,23,22,87,3424,3165,107,80,21,16,35,2171,615,1528,699,1472
37053PB,0,Voting District PB,Currituck,4872,4395,238,123,22,23,71,3800,3476,175,84,14,23,28,2229,845,1359,949,1280
37053CB,0,Voting District CB,Currituck,92,92,0,0,0,0,0,85,85,0,0,0,0,0,137,66,69,67,70
37053IR,0,Voting District IR,Currituck,1383,1143,163,44,10,7,16,1061,884,126,32,6,5,8,761,242,513,308,454
37053MY,0,Voting District MY,Currituck,6418,5547,449,228,65,31,98,4615,4008,356,134,51,25,41,2806,861,1915,913,1893
37055KTHK,0,Voting District KTHK,Dare,3272,3078,28,96,29,5,36,2660,2511,26,74,24,3,22,1905,821,1059,811,1094
37055DUCK,0,Voting District DUCK,Dare,369,351,0,10,4,1,3,329,318,0,6,3,1,1,340,159,176,159,181
37055KDH,0,Voting District KDH,Dare,6683,5755,77,608,95,26,122,5320,4659,56,438,79,23,65,3223,1650,1526,1578,1644
37055EL,0,Voting District EL,Dare,161,135,1,24,0,0,1,125,106,1,17,0,0,1,37,12,23,15,22
37055STPT,0,Voting District STPT,Dare,227,224,0,0,0,0,3,180,177,0,0,0,0,3,107,27,79,37,70
37055CHCA,0,Voting District CHCA,Dare,624,586,5,17,4,2,10,518,493,5,11,3,2,4,354,200,148,205,149
37055MH,0,Voting District MH,Dare,858,722,6,102,4,7,17,675,586,4,69,2,6,8,342,109,229,137,205
37055SOSH,0,Voting District SOSH,Dare,3306,3189,9,50,21,3,34,2708,2632,8,34,15,2,17,2322,948,1345,884,1438
37055COL,0,Voting District COL,Dare,4179,3859,24,193,31,11,61,3247,3049,18,117,25,9,29,1936,896,1011,890,1046
37055MATO,0,Voting District MATO,Dare,6112,4671,606,656,18,23,138,4748,3797,445,425,7,20,54,3124,1515,1561,1618,1506
37055NGHD,0,Voting District NGHD,Dare,2789,2592,43,89,11,14,40,2320,2175,35,65,8,10,27,1621,761,851,788,833
37055AVON,0,Voting District AVON,Dare,777,712,1,58,0,1,5,672,628,1,37,0,1,5,448,203,244,193,255
37055HAT,0,Voting District HAT,Dare,504,487,1,14,0,0,2,424,412,1,10,0,0,1,350,118,228,136,214
37055FRCO,0,Voting District FRCO,Dare,891,824,0,61,1,2,3,742,703,0,35,1,2,1,474,182,286,202,272
37055BUX,0,Voting District BUX,Dare,1526,1336,8,160,0,2,20,1187,1054,7,110,0,2,14,701,277,417,279,422
37055WAN,0,Voting District WAN,Dare,1642,1540,3,72,3,4,20,1273,1211,3,43,2,4,10,764,196,562,248,516
3705702,0,Voting District 02,Davidson,8261,6563,854,475,197,27,145,6131,5036,592,292,137,22,52,3548,1078,2442,997,2551
3705750,0,Voting District 50,Davidson,5088,4835,56,89,33,23,52,3872,3702,40,63,20,18,29,2049,458,1568,496,1552
3705710,0,Voting District 10,Davidson,3778,3258,226,165,74,9,46,2932,2586,167,88,59,8,24,1594,553,1020,650,944
3705748,0,Voting District 48,Davidson,3794,3537,87,92,18,19,41,2925,2756,71,50,13,13,22,1630,448,1155,515,1115
3705760,0,Voting District 60,Davidson,7281,5097,938,988,104,25,129,5202,3833,664,567,69,15,54,2680,1010,1648,1010,1670
3705752,0,Voting District 52,Davidson,6164,5861,63,140,49,15,36,4671,4474,46,81,40,12,18,2765,756,1970,920,1846
3705740,0,Voting District 40,Davidson,3117,2145,637,259,31,6,39,2564,1856,510,147,25,6,20,1388,699,677,687,701
3705728,0,Voting District 28,Davidson,3601,3112,209,149,66,19,46,2833,2505,154,90,45,15,24,1586,547,1017,574,1012
3705770,0,Voting District 70,Davidson,3308,2963,128,139,35,12,31,2539,2312,90,84,29,10,14,1572,365,1180,413,1159
3705776,0,Voting District 76,Davidson,4371,4040,64,165,28,23,51,3375,3166,49,100,19,18,23,2109,477,1616,532,1577
3705780,0,Voting District 80,Davidson,5602,5292,50,131,49,20,60,4234,4060,32,67,33,16,26,2972,572,2361,617,2355
3705768,0,Voting District 68,Davidson,3908,2354,718,699,36,25,76,3030,1982,545,432,24,18,29,1277,595,672,614,663
3705772,0,Voting District 72,Davidson,3615,3347,73,127,24,15,29,2661,2498,46,78,15,10,14,1663,348,1301,376,1287
3705722,0,Voting District 22,Davidson,1794,1543,76,92,53,5,25,1411,1260,56,48,29,4,14,592,167,419,208,384
3705774,0,Voting District 74,Davidson,5707,5310,111,198,20,27,41,4456,4201,72,119,17,25,22,2463,559,1873,628,1835
3705736,0,Voting District 36,Davidson,2296,1392,483,299,59,12,51,1777,1162,368,181,38,10,18,819,490,318,490,329
3705716,0,Voting District 16,Davidson,4642,4265,67,236,24,13,37,3591,3349,53,141,18,12,18,2074,426,1621,456,1618
3705726,0,Voting District 26,Davidson,1168,1034,68,35,13,3,15,920,826,49,26,10,3,6,516,153,360,172,344
3705704,0,Voting District 04,Davidson,6715,6062,307,177,61,27,81,5138,4686,250,102,46,22,32,3568,938,2599,926,2642
3705782,0,Voting District 82,Davidson,3906,3616,81,69,90,11,39,3023,2833,52,46,69,7,16,1736,465,1243,520,1216
3705724,0,Voting District 24,Davidson,2206,1750,104,149,156,15,32,1688,1406,64,86,110,9,13,840,290,543,304,536
3705730,0,Voting District 30,Davidson,3631,980,1760,713,83,11,84,2642,782,1363,408,54,6,29,1400,1234,164,1230,170
3705766,0,Voting District 66,Davidson,3512,2283,504,603,29,34,59,2581,1817,340,348,24,27,25,984,418,564,422,562
3705712,0,Voting District 12,Davidson,1441,1406,1,17,0,0,17,1097,1079,1,8,0,0,9,583,179,392,181,402
3705754,0,Voting District 54,Davidson,2964,2888,6,35,9,4,22,2274,2231,4,18,8,4,9,1065,227,827,248,817
3705746,0,Voting District 46,Davidson,3708,3343,147,145,29,10,34,2801,2563,112,80,24,9,13,1733,443,1275,472,1261
3705758,0,Voting District 58,Davidson,4533,4182,180,90,26,11,44,3577,3324,152,54,21,8,18,1924,648,1260,736,1188
3705708,0,Voting District 08,Davidson,1596,1390,74,71,28,6,27,1279,1150,57,39,17,6,10,770,283,475,320,450
3705734,0,Voting District 34,Davidson,3051,1762,477,426,269,25,92,2358,1507,342,246,195,20,48,1124,582,523,624,500
3705742,0,Voting District 42,Davidson,3909,3743,24,81,13,17,31,3011,2907,18,51,9,15,11,1441,307,1120,329,1112
3705720,0,Voting District 20,Davidson,3902,3760,32,60,8,13,29,3065,2979,23,32,5,12,14,1760,402,1339,524,1236
3705718,0,Voting District 18,Davidson,2642,2565,13,32,8,10,14,2108,2065,7,17,7,6,6,1119,247,865,288,831
3705784,0,Voting District 84,Davidson,5963,5444,236,152,37,18,76,4601,4246,188,89,29,13,36,2963,847,2077,818,2145
3705778,0,Voting District 78,Davidson,5112,4668,143,184,28,29,60,3794,3526,103,99,21,19,26,2067,608,1431,671,1396
3705706,0,Voting District 06,Davidson,4753,4346,77,232,28,20,50,3538,3286,62,131,18,18,23,1658,435,1201,557,1101
3705744,0,Voting District 44,Davidson,5038,4324,561,82,20,7,44,4007,3438,465,54,17,7,26,2856,860,1975,871,1985
3705762,0,Voting District 62,Davidson,3187,1138,1185,740,42,8,74,2307,937,881,429,23,5,32,999,737,256,724,275
3705732,0,Voting District 32,Davidson,2693,1409,589,583,23,16,73,1955,1140,404,365,15,9,22,735,442,287,447,288
3705756,0,Voting District 56,Davidson,1817,1754,1,32,5,6,19,1404,1362,1,22,3,5,11,743,157,570,187,556
3705764,0,Voting District 64,Davidson,3170,1029,1574,488,15,14,50,2227,792,1114,288,10,7,16,1187,981,200,974,213
3705738,0,Voting District 38,Davidson,3089,923,1279,734,54,15,84,2150,742,922,431,29,10,16,890,784,102,765,125
3705714,0,Voting District 14,Davidson,2845,2773,6,35,9,9,13,2257,2201,5,25,7,9,10,1134,216,910,272,862
3705901,0,Voting District 01,Davie,1421,1163,176,58,1,3,20,1107,915,142,38,1,2,9,724,218,500,235,489
3705902,0,Voting District 02,Davie,1810,1523,79,171,5,6,26,1335,1149,67,97,3,4,15,721,227,483,249,472
3705903,0,Voting District 03,Davie,3764,3314,127,260,3,17,43,2859,2578,105,145,2,10,19,1725,448,1262,432,1293
3705904,0,Voting District 04,Davie,3418,2599,314,400,11,12,82,2520,2029,233,224,9,4,21,1077,384,672,384,693
3705905,0,Voting District 05,Davie,3292,2971,135,125,16,2,43,2562,2345,105,79,15,2,16,1756,385,1356,407,1349
3705906,0,Voting District 06,Davie,2281,2064,118,49,14,8,28,1783,1633,95,30,9,5,11,1146,335,796,354,792
3705907,0,Voting District 07,Davie,2644,2223,227,150,9,2,33,2020,1746,176,83,5,2,8,1353,397,940,423,930
3705908,0,Voting District 08,Davie,3165,2001,540,469,28,12,115,2321,1571,411,268,24,8,39,1324,660,645,631,693
3705909,0,Voting District 09,Davie,3408,2645,359,330,12,1,61,2633,2117,287,198,8,1,22,1552,603,928,572,980
3705910,0,Voting District 10,Davie,2898,2745,48,44,13,21,27,2179,2088,39,20,5,13,14,1665,481,1176,454,1211
3705911,0,Voting District 11,Davie,2409,2269,37,81,8,3,11,1787,1708,29,42,2,3,3,1159,258,894,282,877
3705912,0,Voting District 12,Davie,4640,4209,176,148,41,12,54,3458,3195,129,91,24,7,12,2503,691,1792,673,1830
3705913,0,Voting District 13,Davie,3377,3132,97,55,61,3,29,2837,2658,79,44,45,1,10,2258,652,1591,620,1638
3705914,0,Voting District 14,Davie,2713,2399,119,156,12,4,23,2088,1875,100,93,9,3,8,1405,439,946,460,945
37061BEUL,0,Voting District BEUL,Duplin,4650,3802,494,275,9,23,47,3596,3021,363,170,9,14,19,1764,442,1315,589,1175
37061HALL,0,Voting District HALL,Duplin,2221,1398,551,235,11,4,22,1658,1085,422,135,5,2,9,814,404,407,474,340
37061CHAR,0,Voting District CHAR,Duplin,2293,808,1092,350,8,6,29,1701,651,828,202,6,5,9,893,594,294,647,246
37061CFRK,0,Voting District CFRK,Duplin,1236,1044,59,114,1,3,15,912,815,28,61,1,2,5,418,72,345,125,293
37061KENA,0,Voting District KENA,Duplin,5634,2553,2158,821,16,30,56,4303,2054,1723,467,9,28,22,2169,1244,916,1347,822
37061ROCK,0,Voting District ROCK,Duplin,1621,806,563,227,3,5,17,1214,647,424,127,3,4,9,587,279,304,317,270
37061CYRK,0,Voting District CYRK,Duplin,2014,1695,219,85,1,4,10,1544,1330,161,42,1,2,8,823,180,638,282,541
37061FAIS,0,Voting District FAIS,Duplin,3110,1353,902,808,8,11,28,2298,1087,701,477,8,11,14,955,495,459,543,412
37061WARS,0,Voting District WARS,Duplin,6041,2006,2884,1057,23,18,53,4543,1666,2183,626,19,15,34,2240,1445,782,1515,725
37061WALL,0,Voting District WALL,Duplin,7587,3713,2284,1502,24,12,52,5837,3117,1770,892,21,10,27,2936,1495,1424,1623,1313
37061CHIN,0,Voting District CHIN,Duplin,1396,1046,251,81,2,2,14,1093,848,191,46,2,2,4,596,189,403,243,353
37061MAGN,0,Voting District MAGN,Duplin,3110,897,922,1240,6,10,35,2179,757,702,691,4,8,17,824,508,313,531,293
37061ALBE,0,Voting District ALBE,Duplin,3880,1713,193,1942,2,6,24,2570,1334,137,1086,2,6,5,735,154,575,227,508
37061LOCK,0,Voting District LOCK,Duplin,855,632,105,99,0,5,14,651,500,80,61,0,4,6,293,79,212,107,186
37061CALY,0,Voting District CALY,Duplin,1576,974,267,306,11,5,13,1236,804,222,188,7,5,10,562,160,397,209,353
